Distribuidor;Codigo Produto;Quantidade;Data;
92785047000126;000008;0;20250428;
92785047000126;000064;2215;20250428;
92785047000126;000096;0;20250428;
92785047000126;000130;14322;20250428;
92785047000126;000136;486;20250428;
92785047000126;000149;309;20250428;
92785047000126;000164;440;20250428;
92785047000126;000198;28;20250428;
92785047000126;000344;459;20250428;
92785047000126;000396;407;20250428;
92785047000126;000540;368;20250428;
92785047000126;000581;40;20250428;
92785047000126;000691;101;20250428;
92785047000126;000705;0;20250428;
92785047000126;000706;0;20250428;
92785047000126;000710;86;20250428;
92785047000126;000710005;0;20250428;
92785047000126;000711;587;20250428;
92785047000126;000713;0;20250428;
92785047000126;000715;0;20250428;
92785047000126;000720;0;20250428;
92785047000126;000721;49;20250428;
92785047000126;000722;2454;20250428;
92785047000126;000723;14279;20250428;
92785047000126;000724;960;20250428;
92785047000126;000725;296;20250428;
92785047000126;000726;380;20250428;
92785047000126;000727;722;20250428;
92785047000126;000746;30;20250428;
92785047000126;000747;20;20250428;
92785047000126;000748;6;20250428;
92785047000126;000912;17;20250428;
92785047000126;000996;610;20250428;
92785047000126;001047;1003;20250428;
92785047000126;001112;461;20250428;
92785047000126;001112024;0;20250428;
92785047000126;001112048;0;20250428;
92785047000126;001164;1444;20250428;
92785047000126;001434;1332;20250428;
92785047000126;001441;11;20250428;
92785047000126;001500;119;20250428;
92785047000126;001520;0;20250428;
92785047000126;001524;0;20250428;
92785047000126;001525;0;20250428;
92785047000126;001529;0;20250428;
92785047000126;001541;30;20250428;
92785047000126;001580;54;20250428;
92785047000126;001643;1437;20250428;
92785047000126;001644;2058;20250428;
92785047000126;001684;37;20250428;
92785047000126;001686;0;20250428;
92785047000126;001693;0;20250428;
92785047000126;001694;604;20250428;
92785047000126;001695;158;20250428;
92785047000126;001702;380;20250428;
92785047000126;001703;576;20250428;
92785047000126;001705;0;20250428;
92785047000126;001707;2085;20250428;
92785047000126;001708;1787;20250428;
92785047000126;001709;255;20250428;
92785047000126;001710;4994;20250428;
92785047000126;001711;0;20250428;
92785047000126;001712;3034;20250428;
92785047000126;001713;223;20250428;
92785047000126;001714;172;20250428;
92785047000126;001715;110;20250428;
92785047000126;001719;0;20250428;
92785047000126;001720;403;20250428;
92785047000126;001721;192;20250428;
92785047000126;001730;344;20250428;
92785047000126;001731;348;20250428;
92785047000126;001732;260;20250428;
92785047000126;001733;242;20250428;
92785047000126;001734;14;20250428;
92785047000126;001736;570;20250428;
92785047000126;001737;0;20250428;
92785047000126;001739;62;20250428;
92785047000126;001741;550;20250428;
92785047000126;001742;1700;20250428;
92785047000126;001744;44;20250428;
92785047000126;001747;7;20250428;
92785047000126;001748;5;20250428;
92785047000126;001749;0;20250428;
92785047000126;001751;0;20250428;
92785047000126;001752;56;20250428;
92785047000126;001754;33;20250428;
92785047000126;001755;61;20250428;
92785047000126;001756;27;20250428;
92785047000126;001757;8;20250428;
92785047000126;001758;107;20250428;
92785047000126;001760;29;20250428;
92785047000126;001761;0;20250428;
92785047000126;001762;24;20250428;
92785047000126;001771;20314;20250428;
92785047000126;001777;103;20250428;
92785047000126;001778;0;20250428;
92785047000126;001781;298;20250428;
92785047000126;001783;569;20250428;
92785047000126;001788;72;20250428;
92785047000126;001789;89;20250428;
92785047000126;001793;21;20250428;
92785047000126;001794;904;20250428;
92785047000126;001795;131;20250428;
92785047000126;001796;1043;20250428;
92785047000126;001797;221;20250428;
92785047000126;001798;0;20250428;
92785047000126;001799;816;20250428;
92785047000126;001802;19003;20250428;
92785047000126;001802020;0;20250428;
92785047000126;001805;2668;20250428;
92785047000126;001848;319;20250428;
92785047000126;001849;165;20250428;
92785047000126;001897;2;20250428;
92785047000126;001909;0;20250428;
92785047000126;001929;0;20250428;
92785047000126;001970;28;20250428;
92785047000126;001981;0;20250428;
92785047000126;002005;60;20250428;
92785047000126;002007;188;20250428;
92785047000126;002061;276;20250428;
92785047000126;002091;59;20250428;
92785047000126;002111;0;20250428;
92785047000126;002175;225;20250428;
92785047000126;002176;777;20250428;
92785047000126;002176020;0;20250428;
92785047000126;002177;403;20250428;
92785047000126;002303;393;20250428;
92785047000126;002376;2825;20250428;
92785047000126;002497;109;20250428;
92785047000126;002580;0;20250428;
92785047000126;002585;170;20250428;
92785047000126;002691;0;20250428;
92785047000126;002692;0;20250428;
92785047000126;002744;0;20250428;
92785047000126;002746;15;20250428;
92785047000126;002756;64;20250428;
92785047000126;003012;313;20250428;
92785047000126;003013;0;20250428;
92785047000126;003212;24;20250428;
92785047000126;003384;237;20250428;
92785047000126;003411;393;20250428;
92785047000126;003431;11;20250428;
92785047000126;003432;16;20250428;
92785047000126;003433;0;20250428;
92785047000126;003480;364;20250428;
92785047000126;003481;3653;20250428;
92785047000126;003516;0;20250428;
92785047000126;003863;0;20250428;
92785047000126;003992;0;20250428;
92785047000126;004162;0;20250428;
92785047000126;004163;0;20250428;
92785047000126;004516;582;20250428;
92785047000126;004528;297;20250428;
92785047000126;004529;543;20250428;
92785047000126;004530;0;20250428;
92785047000126;004531;27;20250428;
92785047000126;004532;365;20250428;
92785047000126;004533;143;20250428;
92785047000126;004593;0;20250428;
92785047000126;004623;0;20250428;
92785047000126;004766;170;20250428;
92785047000126;004767;102;20250428;
92785047000126;004794;186;20250428;
92785047000126;004795;107;20250428;
92785047000126;004854;246;20250428;
92785047000126;004861;0;20250428;
92785047000126;005067;253;20250428;
92785047000126;005071;169;20250428;
92785047000126;005123;0;20250428;
92785047000126;005193;0;20250428;
92785047000126;005220;1079;20250428;
92785047000126;005434;0;20250428;
92785047000126;005678;34;20250428;
92785047000126;005679;283;20250428;
92785047000126;005985;0;20250428;
92785047000126;005995;2334;20250428;
92785047000126;006140;0;20250428;
92785047000126;006229;0;20250428;
92785047000126;006343;2460;20250428;
92785047000126;006344;810;20250428;
92785047000126;006345;1101;20250428;
92785047000126;006346;283;20250428;
92785047000126;006347;2065;20250428;
92785047000126;006348;1628;20250428;
92785047000126;006648;792;20250428;
92785047000126;006699;22;20250428;
92785047000126;006709;266;20250428;
92785047000126;006710;2742;20250428;
92785047000126;006761;449;20250428;
92785047000126;006762;4482;20250428;
92785047000126;006783;0;20250428;
92785047000126;006784;0;20250428;
92785047000126;006785;0;20250428;
92785047000126;006959;486;20250428;
92785047000126;006960;218;20250428;
92785047000126;007120;15;20250428;
92785047000126;007205;0;20250428;
92785047000126;007206;89;20250428;
92785047000126;007257;200;20250428;
92785047000126;007363;172;20250428;
92785047000126;007364;420;20250428;
92785047000126;007365;314;20250428;
92785047000126;007366;292;20250428;
92785047000126;007367;472;20250428;
92785047000126;007368;223;20250428;
92785047000126;007369;312;20250428;
92785047000126;007370;0;20250428;
92785047000126;007533;18;20250428;
92785047000126;007542;0;20250428;
92785047000126;007543;0;20250428;
92785047000126;007707;1173;20250428;
92785047000126;007708;619;20250428;
92785047000126;007709;234;20250428;
92785047000126;007710;0;20250428;
92785047000126;007711;528;20250428;
92785047000126;007712;217;20250428;
92785047000126;007713;0;20250428;
92785047000126;007714;0;20250428;
92785047000126;008540;1002;20250428;
92785047000126;008542;529;20250428;
92785047000126;008543;524;20250428;
92785047000126;008544;364;20250428;
92785047000126;008545;224;20250428;
92785047000126;008546;101;20250428;
92785047000126;008547;228;20250428;
92785047000126;008548;0;20250428;
92785047000126;009459;0;20250428;
92785047000126;009859;425;20250428;
92785047000126;009860;292;20250428;
92785047000126;009861;871;20250428;
92785047000126;009862;0;20250428;
92785047000126;009863;0;20250428;
92785047000126;009881;0;20250428;
92785047000126;009882;433;20250428;
92785047000126;010169;824;20250428;
92785047000126;010170;138;20250428;
92785047000126;010903;89;20250428;
92785047000126;011303;17;20250428;
92785047000126;011708;1371;20250428;
92785047000126;011979;2554;20250428;
92785047000126;011980;332;20250428;
92785047000126;012196;0;20250428;
92785047000126;012454;794;20250428;
92785047000126;012455;286;20250428;
92785047000126;012456;243;20250428;
92785047000126;012859;399;20250428;
92785047000126;012860;247;20250428;
92785047000126;012861;187;20250428;
92785047000126;012862;853;20250428;
92785047000126;013460;998;20250428;
92785047000126;013461;1637;20250428;
92785047000126;013522;806;20250428;
92785047000126;013523;556;20250428;
92785047000126;013524;667;20250428;
92785047000126;013557;75;20250428;
92785047000126;013734;332;20250428;
92785047000126;014122;1074;20250428;
92785047000126;020230;182;20250428;
